Tipo,Descripcion,Localizacion,Atributos,Valor
Apartamento,Apartamento en venta en Chico Norte,"Chico Norte, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones2 baños95 m²,$ 980.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños54 m²,$ 237.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños67 / 67 m²,$ 320.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",4 habitaciones4 baños132 m²,$ 530.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños108 / 108 m²,$ 503.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño42 m²,$ 117.000.000
Apartamento,Apartamento en venta en Chico Reservado,"Chico Reservado, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones3 baños166 m²,$ 1.300.000.000
Apartamento,Apartamento en venta en Chico Reservado,"Chico Reservado, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",1 habitación2 baños49 m²,$ 477.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",4 habitaciones4 baños100 m²,$ 450.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños81 m²,$ 515.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños146 m²,$ 730.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones3 baños93 m²,$ 600.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",4 habitaciones2 baños97 / 97 m²,$ 480.000.000
Apartamento,Apartamento en venta en Ciudad Salitre,"Ciudad Salitre, Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños92 m²,$ 560.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación2 baños48 m²,$ 308.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación2 baños55 m²,$ 365.000.000
Casa,Casa en venta en Las Villas,"Las Villas, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",5 habitaciones4 baños278 / 278 m²,$ 1.200.000.000
Apartamento,Apartamento en venta en Los Rosales,"Los Rosales, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",1 habitación1 baño51 m²,$ 371.000.000
Casa,Casa en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones3 baños148 m²,$ 850.000.000
Apartamento,Apartamento en venta en Bella Suiza,"Bella Suiza, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación2 baños61 / 61 m²,$ 428.000.000
Apartamento,Apartamento en venta en Bella Suiza,"Bella Suiza, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación2 baños61 m²,$ 421.000.000
Apartamento,Apartamento en venta en Bella Suiza,"Bella Suiza, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños127 m²,$ 650.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños68 m²,$ 295.000.000
Apartamento,Apartamento en venta en Tintala,"Tintala, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño47 m²,$ 144.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños70 / 70 m²,$ 280.000.000
Apartamento,Apartamento en venta en Tintala,"Tintala, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños54 m²,$ 162.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños86 m²,$ 620.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños118 m²,$ 1.200.000.000
Apartamento,Apartamento en venta en Mazuren,"Mazuren, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños88 m²,$ 360.000.000
Local,Local en venta en Chapinero,"Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones2 baños74 m²,$ 350.000.000
Apartamento,Apartamento en venta en Bella Suiza,"Bella Suiza, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños127 m²,$ 650.000.000
Apartamento,Apartamento en venta en Ciudad Salitre,"Ciudad Salitre, Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños92 m²,$ 560.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños68 m²,$ 295.000.000
Apartamento,Apartamento en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños75 m²,$ 413.500.000
Apartamento,Apartamento en venta en La Calleja,"La Calleja, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones4 baños248 m²,$ 1.200.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones1 baño53 m²,$ 370.000.000
Apartamento,Apartamento en venta en Ciudad Salitre,"Ciudad Salitre, Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños90 m²,$ 600.000.000
Apartamento,Apartamento en venta en Fontibón,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños83 m²,$ 390.000.000
Apartamento,Apartamento en venta en El Batán,"El Batán, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños75 / 75 m²,$ 447.500.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño56 / 56 m²,$ 132.000.000
Apartamento,Apartamento en venta en Chapinero Central,"Chapinero Central, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños59 / 59 m²,$ 180.000.000
Apartamento,Apartamento en venta en El Batán,"El Batán, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",1 habitación1 baño43 / 43 m²,$ 285.000.000
Apartamento,Apartamento en venta en La Uribe,"La Uribe, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños97 / 97 m²,$ 620.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños69 m²,$ 400.000.000
Apartamento,Apartamento en venta en La Calleja,"La Calleja, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones4 baños174 m²,$ 1.380.000.000
Apartamento,"Apartamento 54,11M","Zona Noroccidental, Bogotá D.C, Cundinamarca",1 habitación2 baños54 / 54 m²,$ 335.238.800
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones3 baños92 / 92 m²,$ 820.000.000
Apartamento,Apartamento en venta en Los Rosales,"Los Rosales, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",1 habitación1 baño46 m²,$ 545.000.000
Apartamento,Apartamento en venta en Fontibón,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños48 / 48 m²,$ 217.000.000
Apartamento,Apartamento en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños95 m²,$ 495.000.000
Casa,Casa en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños66 m²,$ 330.000.000
Apartamento,Apartamento en venta en El Chicó,"El Chicó, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones3 baños116 m²,$ 570.000.000
Apartamento,Apartamento en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños60 m²,$ 280.000.000
Apartamento,Apartamento en venta en Chapinero,"Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",4 habitaciones5 baños300 m²,$ 2.000.000.000
Casa,Casa en venta en Hayuelos,"Hayuelos, Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños80 m²,$ 390.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños58 / 58 m²,$ 311.000.000
Bodega,Bodega en venta en Puente Aranda,"Puente Aranda, Zona Centro, Bogotá D.C, Cundinamarca",3 habitaciones2 baños68 m²,$ 164.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños114 m²,$ 510.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños70 m²,$ 319.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños114 m²,$ 510.000.000
Apartamento,Apartamento en venta en Teusaquillo,"Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",1 habitación2 baños50 m²,$ 303.960.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños60 / 60 m²,$ 387.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",2 habitaciones3 baños75 m²,$ 390.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños65 m²,$ 315.000.000
Apartamento,Apartamento en venta en Los Mártires,"Los Mártires, Zona Centro, Bogotá D.C, Cundinamarca",3 habitaciones2 baños59 / 59 m²,$ 245.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño42 m²,$ 136.000.000
Apartamento,Apartamento en venta en Tintala,"Tintala, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños45 m²,$ 151.000.000
Apartamento,Apartamento en venta en Bogotá D.C,"Bogotá D.C, Cundinamarca",3 habitaciones1 baño47 / 47 m²,$ 129.500.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño38 m²,$ 150.000.000
Apartamento,Apartamento en venta en Mazuren,"Mazuren, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños109 m²,$ 360.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño45 m²,$ 141.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños53 m²,$ 371.000.000
Apartamento,Apartamento en venta en Fontibón,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños60 / 60 m²,$ 272.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño43 m²,$ 113.000.000
Apartamento,Apartamento en venta en Castilla,"Castilla, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños54 m²,$ 237.000.000
Apartamento,Apartamento en venta en Antonio Nariño,"Antonio Nariño, Zona Sur, Bogotá D.C, Cundinamarca",2 habitaciones1 baño48 m²,$ 122.000.000
Apartamento,Apartamento en venta en Tintala,"Tintala, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños59 m²,$ 243.000.000
Apartamento,Apartamento en venta en Santa Fe,"Santa Fe, Zona Centro, Bogotá D.C, Cundinamarca",1 habitación2 baños50 m²,$ 420.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño43 m²,$ 125.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño47 / 47 m²,$ 134.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño51 / 51 m²,$ 177.000.000
Apartamento,Apartamento en venta en Teusaquillo,"Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños46 m²,$ 116.000.000
Casa,Casa en venta en Teusaquillo,"Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",4 habitaciones4 baños340 m²,$ 930.000.000
Apartamento,Apartamento en venta en Tintala,"Tintala, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",4 habitaciones2 baños88 m²,$ 390.000.000
Apartamento,Apartamento en venta en Marly,"Marly, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones3 baños95 m²,$ 490.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños58 m²,$ 449.964.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños110 m²,$ 650.000.000
Apartamento,Apartamento en venta en Chapinero,"Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones2 baños80 m²,$ 420.000.000
Casa,Casa en venta en Normandia,"Normandia, Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",5 habitaciones4 baños142 m²,$ 600.000.000
Casa,Casa en venta en El Batán,"El Batán, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños150 m²,$ 800.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño47 m²,$ 134.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños57 m²,$ 298.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños71 m²,$ 315.000.000
Apartamento,Apartamento en venta en Tintala,"Tintala, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños54 m²,$ 162.000.000
Casa,Casa en venta en Nicolas De Federman,"Nicolas De Federman, Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",12 habitaciones13 baños420 m²,$ 2.570.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación2 baños66 m²,$ 375.000.000
Apartamento,Apartamento en venta en El Batán,"El Batán, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños67 m²,$ 400.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños63 m²,$ 330.000.000
Apartamento,Apartamento en venta en Chapinero,"Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones2 baños75 m²,$ 447.500.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño60 m²,$ 167.500.000
Apartamento,Apartamento en venta en Puente Aranda,"Puente Aranda, Zona Centro, Bogotá D.C, Cundinamarca",3 habitaciones2 baños50 m²,$ 125.000.000
Apartamento,Apartamento en venta en Hayuelos,"Hayuelos, Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños76 m²,$ 400.000.000
Apartamento,Apartamento en venta en Teusaquillo,"Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",1 habitación2 baños53 m²,$ 310.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños70 / 70 m²,$ 287.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños122 m²,$ 516.000.000
Casa,Casa en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños114 m²,$ 416.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño44 / 44 m²,$ 144.000.000
Apartamento,Apartamento en venta en Teusaquillo,"Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",1 habitación1 baño29 m²,$ 192.000.000
Apartamento,Apartamento en venta en El Plan,"El Plan, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños66 m²,$ 290.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño45 m²,$ 121.500.000
Apartamento,Apartamento en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños75 / 75 m²,$ 413.500.000
Apartamento,Apartamento en venta en Teusaquillo,"Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños100 m²,$ 570.000.000
Apartamento,Apartamento en venta en San Cristobal,"San Cristobal, Zona Sur, Bogotá D.C, Cundinamarca",2 habitaciones1 baño60 m²,$ 110.000.000
Apartamento,Apartamento en venta en Nicolas De Federman,"Nicolas De Federman, Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones2 baños68 m²,$ 508.000.000
Apartamento,Apartamento en venta en Bogotá D.C,"Bogotá D.C, Cundinamarca",3 habitaciones1 baño47 / 47 m²,$ 124.000.000
Apartamento,Apartamento en venta en Castilla,"Castilla, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño45 / 45 m²,$ 185.000.000
Apartamento,Apartamento en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños71 m²,$ 290.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños116 m²,$ 495.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños138 m²,$ 750.000.000
Apartamento,Apartamento en venta en Marly,"Marly, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones2 baños52 m²,$ 327.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños67 m²,$ 390.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños63 m²,$ 290.000.000
Casa,Casa en venta en Boyaca ,"Boyaca , Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños106 / 106 m²,$ 310.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños74 / 74 m²,$ 278.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños74 m²,$ 330.000.000
Apartamento,Apartamento en venta en Teusaquillo,"Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",4 habitaciones3 baños90 m²,$ 490.000.000
Apartamento,Apartamento en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños54 m²,$ 249.000.000
Casa,Casa en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",4 habitaciones1 baño63 m²,$ 180.000.000
Apartamento,Apartamento en venta en Santa Fe,"Santa Fe, Zona Centro, Bogotá D.C, Cundinamarca",1 habitación2 baños54 m²,$ 370.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño53 m²,$ 134.000.000
Casa,Casa en venta en Timiza,"Timiza, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",7 habitaciones3 baños210 m²,$ 450.000.000
Apartamento,Apartamento en venta en Chapinero,"Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",1 habitación1 baño49 m²,$ 340.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños49 m²,$ 144.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño52 m²,$ 120.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños43 m²,$ 131.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño47 / 47 m²,$ 138.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños87 / 87 m²,$ 357.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños77 / 77 m²,$ 316.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño57 m²,$ 162.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños52 m²,$ 155.000.000
Apartamento,Apartamento en venta en Teusaquillo,"Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones1 baño51 m²,$ 290.000.000
Apartamento,Apartamento en venta en Ciudad Salitre,"Ciudad Salitre, Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",1 habitación1 baño70 m²,$ 474.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños68 / 68 m²,$ 295.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño48 m²,$ 127.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños77 / 77 m²,$ 390.000.000
Apartamento,Apartamento en venta en Bogotá D.C,"Bogotá D.C, Cundinamarca",3 habitaciones1 baño47 / 47 m²,$ 262.000.000
Apartamento,Apartamento en venta en Bogotá D.C,"Bogotá D.C, Cundinamarca",2 habitaciones1 baño43 / 43 m²,$ 117.000.000
Apartamento,Apartamento en venta en Gran America,"Gran America, Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones3 baños190 m²,$ 1.200.000.000
Casa,Casa en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones3 baños230 m²,$ 990.000.000
Apartamento,Apartamento en venta en Bella Suiza,"Bella Suiza, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños65 m²,$ 383.045.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños53 / 53 m²,$ 371.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños89 m²,$ 516.500.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños132 m²,$ 750.000.000
Casa,Casa en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños70 / 70 m²,$ 282.000.000
Apartamento,Apartamento en venta en Chico Norte,"Chico Norte, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones2 baños57 m²,$ 371.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño45 m²,$ 110.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños49 m²,$ 144.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños87 / 87 m²,$ 357.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño53 m²,$ 134.000.000
Apartamento,Apartamento en venta en San Cristobal,"San Cristobal, Zona Sur, Bogotá D.C, Cundinamarca",2 habitaciones1 baño52 m²,$ 160.000.000
Casa,Casa en venta en Antonio Nariño,"Antonio Nariño, Zona Sur, Bogotá D.C, Cundinamarca",5 habitaciones5 baños358 m²,$ 850.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño47 m²,$ 120.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño42 m²,$ 116.000.000
Casa,Casa en venta en Costa Azul,"Costa Azul, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",5 habitaciones3 baños96 m²,$ 250.000.000
Apartamento,Apartamento en venta en Fontibón,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños44 m²,$ 111.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño42 m²,$ 107.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños60 m²,$ 123.000.000
Apartamento,Apartamento en venta en Gran Granada,"Gran Granada, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños85 m²,$ 347.000.000
Apartamento,Apartamento en venta en Villa Alsacia,"Villa Alsacia, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños78 m²,$ 400.000.000
Casa,Casa en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",5 habitaciones4 baños210 m²,$ 300.000.000
